"Metric","Value","Page"
"Indexing by robots","Allowed","Uwe_Schulz"
"Number of page watchers","Fewer than 30 watchers","Uwe_Schulz"
"Number of redirects to this page","1","Uwe_Schulz"
"Counted as a content page","Yes","Uwe_Schulz"
"Wikidata item ID","Q40896698","Uwe_Schulz"
"Local description","German politician","Uwe_Schulz"
"Central description","German politician","Uwe_Schulz"
"Page views in the past 30 days","46","Uwe_Schulz"
"Display title","Tobias Matthias Peterka","Tobias_Matthias_Peterka"
"Default sort key","Tobias Matthias Peterka","Tobias_Matthias_Peterka"
"Page length (in bytes)","0","Tobias_Matthias_Peterka"
"Namespace ID","0","Tobias_Matthias_Peterka"
"Page ID","0","Tobias_Matthias_Peterka"
"Page content language","en - English","Tobias_Matthias_Peterka"
"Page content model","wikitext","Tobias_Matthias_Peterka"
"Indexing by robots","Disallowed","Tobias_Matthias_Peterka"
"Number of page watchers","Fewer than 30 watchers","Tobias_Matthias_Peterka"
"Number of redirects to this page","0","Tobias_Matthias_Peterka"
"Display title","Uwe Witt","Uwe_Witt"
"Default sort key","Witt, Uwe","Uwe_Witt"
"Page length (in bytes)","3,374","Uwe_Witt"
"Namespace ID","0","Uwe_Witt"
"Page ID","63411692","Uwe_Witt"
"Page content language","en - English","Uwe_Witt"
"Page content model","wikitext","Uwe_Witt"
"Indexing by robots","Allowed","Uwe_Witt"
"Number of page watchers","Fewer than 30 watchers","Uwe_Witt"
"Number of redirects to this page","0","Uwe_Witt"
"Counted as a content page","Yes","Uwe_Witt"
"Wikidata item ID","Q40983704","Uwe_Witt"
"Local description","German politician","Uwe_Witt"
"Central description","German politician","Uwe_Witt"
"Page image","","Uwe_Witt"
"Page views in the past 30 days","398","Uwe_Witt"
"Display title","Steffen Kotré","Steffen_Kotré"
"Default sort key","Kotre, Steffen","Steffen_Kotré"
"Page length (in bytes)","3,716","Steffen_Kotré"
"Namespace ID","0","Steffen_Kotré"
"Page ID","61761698","Steffen_Kotré"
"Page content language","en - English","Steffen_Kotré"
"Page content model","wikitext","Steffen_Kotré"
"Indexing by robots","Allowed","Steffen_Kotré"
"Number of page watchers","Fewer than 30 watchers","Steffen_Kotré"
"Number of redirects to this page","0","Steffen_Kotré"
"Counted as a content page","Yes","Steffen_Kotré"
"Wikidata item ID","Q40846824","Steffen_Kotré"
"Local description","German politician","Steffen_Kotré"
"Central description","German politician","Steffen_Kotré"
"Page image","","Steffen_Kotré"
"Page views in the past 30 days","147","Steffen_Kotré"
"Display title","Rüdiger Lucassen","Rüdiger_Lucassen"
"Default sort key","Lucassen, Rudiger","Rüdiger_Lucassen"
"Page length (in bytes)","3,394","Rüdiger_Lucassen"
"Namespace ID","0","Rüdiger_Lucassen"
"Page ID","61802310","Rüdiger_Lucassen"
"Page content language","en - English","Rüdiger_Lucassen"
"Page content model","wikitext","Rüdiger_Lucassen"
"Indexing by robots","Allowed","Rüdiger_Lucassen"
"Number of page watchers","Fewer than 30 watchers","Rüdiger_Lucassen"
"Number of redirects to this page","0","Rüdiger_Lucassen"
"Counted as a content page","Yes","Rüdiger_Lucassen"
"Wikidata item ID","Q40848063","Rüdiger_Lucassen"
"Local description","German politician","Rüdiger_Lucassen"
"Central description","German politician","Rüdiger_Lucassen"
"Page image","","Rüdiger_Lucassen"
"Page views in the past 30 days","158","Rüdiger_Lucassen"
"Display title","Stefan Keuter","Stefan_Keuter"
"Default sort key","Keuter, Stefan","Stefan_Keuter"
"Page length (in bytes)","2,727","Stefan_Keuter"
"Namespace ID","0","Stefan_Keuter"
"Page ID","61864212","Stefan_Keuter"
"Page content language","en - English","Stefan_Keuter"
"Page content model","wikitext","Stefan_Keuter"
"Indexing by robots","Allowed","Stefan_Keuter"
"Number of page watchers","Fewer than 30 watchers","Stefan_Keuter"
"Number of redirects to this page","1","Stefan_Keuter"
"Counted as a content page","Yes","Stefan_Keuter"
"Wikidata item ID","Q40876446","Stefan_Keuter"
"Local description","German politician","Stefan_Keuter"
"Central description","German politician","Stefan_Keuter"
"Page views in the past 30 days","102","Stefan_Keuter"
"Display title","Max Lucks","Max_Lucks"
"Default sort key","Lucks, Max","Max_Lucks"
"Page length (in bytes)","11,725","Max_Lucks"
"Namespace ID","0","Max_Lucks"
"Page ID","69853283","Max_Lucks"
"Page content language","en - English","Max_Lucks"
"Page content model","wikitext","Max_Lucks"
"Indexing by robots","Allowed","Max_Lucks"
"Number of page watchers","Fewer than 30 watchers","Max_Lucks"
"Number of redirects to this page","0","Max_Lucks"
"Counted as a content page","Yes","Max_Lucks"
"Wikidata item ID","Q42428977","Max_Lucks"
"Local description","German politician (born 1997)","Max_Lucks"
"Central description","German politician","Max_Lucks"
"Page image","","Max_Lucks"
"Page views in the past 30 days","179","Max_Lucks"
"Display title","Dunja Kreiser","Dunja_Kreiser"
"Default sort key","Kreiser, Dunja","Dunja_Kreiser"
"Page length (in bytes)","5,450","Dunja_Kreiser"
"Namespace ID","0","Dunja_Kreiser"
"Page ID","70235703","Dunja_Kreiser"
"Page content language","en - English","Dunja_Kreiser"
"Page content model","wikitext","Dunja_Kreiser"
"Indexing by robots","Allowed","Dunja_Kreiser"
"Number of page watchers","Fewer than 30 watchers","Dunja_Kreiser"
"Number of redirects to this page","0","Dunja_Kreiser"
"Counted as a content page","Yes","Dunja_Kreiser"
"Wikidata item ID","Q42586423","Dunja_Kreiser"
"Local description","German politician","Dunja_Kreiser"
"Central description","German politician","Dunja_Kreiser"
"Page image","","Dunja_Kreiser"
"Page views in the past 30 days","50","Dunja_Kreiser"
"Display title","Ricarda Lang","Ricarda_Lang"
"Default sort key","Lang, Ricarda","Ricarda_Lang"
"Page length (in bytes)","13,386","Ricarda_Lang"
"Namespace ID","0","Ricarda_Lang"
"Page ID","69162131","Ricarda_Lang"
"Page content language","en - English","Ricarda_Lang"
"Page content model","wikitext","Ricarda_Lang"
"Indexing by robots","Allowed","Ricarda_Lang"
"Number of page watchers","Fewer than 30 watchers","Ricarda_Lang"
"Number of redirects to this page","0","Ricarda_Lang"
"Counted as a content page","Yes","Ricarda_Lang"
"Wikidata item ID","Q42841188","Ricarda_Lang"
"Local description","German politician (born 1994)","Ricarda_Lang"
"Central description","German politician (born 1994)","Ricarda_Lang"
"Page image","","Ricarda_Lang"
"Page views in the past 30 days","3,316","Ricarda_Lang"
"Display title","Marja-Liisa Völlers","Marja-Liisa_Völlers"
"Default sort key","Vollers, Marja-Liisa","Marja-Liisa_Völlers"
"Page length (in bytes)","4,657","Marja-Liisa_Völlers"
"Namespace ID","0","Marja-Liisa_Völlers"
"Page ID","63436001","Marja-Liisa_Völlers"
"Page content language","en - English","Marja-Liisa_Völlers"
"Page content model","wikitext","Marja-Liisa_Völlers"
"Indexing by robots","Allowed","Marja-Liisa_Völlers"
"Number of page watchers","Fewer than 30 watchers","Marja-Liisa_Völlers"
"Number of redirects to this page","0","Marja-Liisa_Völlers"
"Counted as a content page","Yes","Marja-Liisa_Völlers"
"Wikidata item ID","Q43464224","Marja-Liisa_Völlers"
"Local description","German politician","Marja-Liisa_Völlers"
"Central description","German politician","Marja-Liisa_Völlers"
"Page image","","Marja-Liisa_Völlers"
"Page views in the past 30 days","98","Marja-Liisa_Völlers"
"Display title","Kevin Kühnert","Kevin_Kühnert"
"Default sort key","Kuhnert, Kevin","Kevin_Kühnert"
"Page length (in bytes)","15,096","Kevin_Kühnert"
"Namespace ID","0","Kevin_Kühnert"
"Page ID","56891151","Kevin_Kühnert"
"Page content language","en - English","Kevin_Kühnert"
"Page content model","wikitext","Kevin_Kühnert"
"Indexing by robots","Allowed","Kevin_Kühnert"
"Number of page watchers","Fewer than 30 watchers","Kevin_Kühnert"
"Number of redirects to this page","0","Kevin_Kühnert"
"Counted as a content page","Yes","Kevin_Kühnert"
"Wikidata item ID","Q43567875","Kevin_Kühnert"
"Local description","German politician (born 1989)","Kevin_Kühnert"
"Central description","German politician (SPD)","Kevin_Kühnert"
"Page image","","Kevin_Kühnert"
"Page views in the past 30 days","1,122","Kevin_Kühnert"
"Display title","Ria Schröder","Ria_Schröder"
"Default sort key","Schroder, Ria","Ria_Schröder"
"Page length (in bytes)","10,705","Ria_Schröder"
"Namespace ID","0","Ria_Schröder"
"Page ID","69950201","Ria_Schröder"
"Page content language","en - English","Ria_Schröder"
"Page content model","wikitext","Ria_Schröder"
"Indexing by robots","Allowed","Ria_Schröder"
"Number of page watchers","Fewer than 30 watchers","Ria_Schröder"
"Number of redirects to this page","0","Ria_Schröder"
"Counted as a content page","Yes","Ria_Schröder"
"Wikidata item ID","Q53537282","Ria_Schröder"
"Local description","German politician (born 1992)","Ria_Schröder"
"Central description","German politician, MP","Ria_Schröder"
"Page image","","Ria_Schröder"
"Page views in the past 30 days","153","Ria_Schröder"
"Display title","Ates Gürpinar","Ates_Gürpinar"
"Default sort key","Gurpinar, Ates","Ates_Gürpinar"
"Page length (in bytes)","6,110","Ates_Gürpinar"
"Namespace ID","0","Ates_Gürpinar"
"Page ID","69153845","Ates_Gürpinar"
"Page content language","en - English","Ates_Gürpinar"
"Page content model","wikitext","Ates_Gürpinar"
"Indexing by robots","Allowed","Ates_Gürpinar"
"Number of page watchers","Fewer than 30 watchers","Ates_Gürpinar"
"Number of redirects to this page","0","Ates_Gürpinar"
"Counted as a content page","Yes","Ates_Gürpinar"
"Wikidata item ID","Q54821874","Ates_Gürpinar"
"Local description","German politician (born 1984)","Ates_Gürpinar"
"Central description","German politician","Ates_Gürpinar"
"Page image","","Ates_Gürpinar"
"Page views in the past 30 days","634","Ates_Gürpinar"
"Display title","Aydan Özoğuz","Aydan_Özoğuz"
"Default sort key","Ozoguz, Aydan","Aydan_Özoğuz"
"Page length (in bytes)","18,739","Aydan_Özoğuz"
"Namespace ID","0","Aydan_Özoğuz"
"Page ID","40612810","Aydan_Özoğuz"
"Page content language","en - English","Aydan_Özoğuz"
"Page content model","wikitext","Aydan_Özoğuz"
"Indexing by robots","Allowed","Aydan_Özoğuz"
"Number of page watchers","Fewer than 30 watchers","Aydan_Özoğuz"
"Number of redirects to this page","2","Aydan_Özoğuz"
"Counted as a content page","Yes","Aydan_Özoğuz"
"Wikidata item ID","Q792859","Aydan_Özoğuz"
"Local description","German politician (SPD), Vice-President of the Bundestag","Aydan_Özoğuz"
"Central description","German politician","Aydan_Özoğuz"
"Page image","","Aydan_Özoğuz"
"Page views in the past 30 days","1,301","Aydan_Özoğuz"
"Display title","Saskia Weishaupt","Saskia_Weishaupt"
"Default sort key","Weishaupt, Mareike","Saskia_Weishaupt"
"Page length (in bytes)","5,823","Saskia_Weishaupt"
"Namespace ID","0","Saskia_Weishaupt"
"Page ID","70651003","Saskia_Weishaupt"
"Page content language","en - English","Saskia_Weishaupt"
"Page content model","wikitext","Saskia_Weishaupt"
"Indexing by robots","Allowed","Saskia_Weishaupt"
"Number of page watchers","Fewer than 30 watchers","Saskia_Weishaupt"
"Number of redirects to this page","0","Saskia_Weishaupt"
"Counted as a content page","Yes","Saskia_Weishaupt"
"Wikidata item ID","Q108726254","Saskia_Weishaupt"
"Local description","German politician","Saskia_Weishaupt"
"Central description","German politician","Saskia_Weishaupt"
"Page views in the past 30 days","81","Saskia_Weishaupt"
"Display title","Matthias Moosdorf","Matthias_Moosdorf"
"Default sort key","Moosdorf, Matthias","Matthias_Moosdorf"
"Page length (in bytes)","7,478","Matthias_Moosdorf"
"Namespace ID","0","Matthias_Moosdorf"
"Page ID","67192054","Matthias_Moosdorf"
"Page content language","en - English","Matthias_Moosdorf"
"Page content model","wikitext","Matthias_Moosdorf"
"Indexing by robots","Allowed","Matthias_Moosdorf"
"Number of page watchers","Fewer than 30 watchers","Matthias_Moosdorf"
"Number of redirects to this page","0","Matthias_Moosdorf"
"Counted as a content page","Yes","Matthias_Moosdorf"
"Wikidata item ID","Q59651302","Matthias_Moosdorf"
"Local description","German cellist and politician","Matthias_Moosdorf"
"Central description","German cellist and politician","Matthias_Moosdorf"
"Page views in the past 30 days","134","Matthias_Moosdorf"
"Display title","Nezahat Baradari","Nezahat_Baradari"
"Default sort key","Baradari, Nezahat","Nezahat_Baradari"
"Page length (in bytes)","6,484","Nezahat_Baradari"
"Namespace ID","0","Nezahat_Baradari"
"Page ID","63411831","Nezahat_Baradari"
"Page content language","en - English","Nezahat_Baradari"
"Page content model","wikitext","Nezahat_Baradari"
"Indexing by robots","Allowed","Nezahat_Baradari"
"Number of page watchers","Fewer than 30 watchers","Nezahat_Baradari"
"Number of redirects to this page","0","Nezahat_Baradari"
"Counted as a content page","Yes","Nezahat_Baradari"
"Wikidata item ID","Q60673734","Nezahat_Baradari"
"Local description","German politician","Nezahat_Baradari"
"Central description","German-Turkish politician","Nezahat_Baradari"
"Page image","","Nezahat_Baradari"
"Page views in the past 30 days","121","Nezahat_Baradari"
"Display title","Heidi Reichinnek","Heidi_Reichinnek"
"Default sort key","Reichinnek, Heidi","Heidi_Reichinnek"
"Page length (in bytes)","4,630","Heidi_Reichinnek"
"Namespace ID","0","Heidi_Reichinnek"
"Page ID","69043535","Heidi_Reichinnek"
"Page content language","en - English","Heidi_Reichinnek"
"Page content model","wikitext","Heidi_Reichinnek"
"Indexing by robots","Allowed","Heidi_Reichinnek"
"Number of page watchers","Fewer than 30 watchers","Heidi_Reichinnek"
"Number of redirects to this page","1","Heidi_Reichinnek"
"Counted as a content page","Yes","Heidi_Reichinnek"
"Wikidata item ID","Q61965546","Heidi_Reichinnek"
"Local description","German politician","Heidi_Reichinnek"
"Central description","German politician","Heidi_Reichinnek"
"Page image","","Heidi_Reichinnek"
"Page views in the past 30 days","3,801","Heidi_Reichinnek"
"Display title","Tilman Kuban","Tilman_Kuban"
"Default sort key","Kuban, Tilman","Tilman_Kuban"
"Page length (in bytes)","5,136","Tilman_Kuban"
"Namespace ID","0","Tilman_Kuban"
"Page ID","65049678","Tilman_Kuban"
"Page content language","en - English","Tilman_Kuban"
"Page content model","wikitext","Tilman_Kuban"
"Indexing by robots","Allowed","Tilman_Kuban"
"Number of page watchers","Fewer than 30 watchers","Tilman_Kuban"
"Number of redirects to this page","0","Tilman_Kuban"
"Counted as a content page","Yes","Tilman_Kuban"
"Wikidata item ID","Q62079592","Tilman_Kuban"
"Local description","German politician","Tilman_Kuban"
"Central description","German politician","Tilman_Kuban"
"Page image","","Tilman_Kuban"
"Page views in the past 30 days","154","Tilman_Kuban"
"Display title","Philip Krämer","Philip_Krämer"
"Default sort key","Kramer, Philip","Philip_Krämer"
"Page length (in bytes)","3,653","Philip_Krämer"
"Namespace ID","0","Philip_Krämer"
"Page ID","69868017","Philip_Krämer"
"Page content language","en - English","Philip_Krämer"
"Page content model","wikitext","Philip_Krämer"
"Indexing by robots","Allowed","Philip_Krämer"
"Number of page watchers","Fewer than 30 watchers","Philip_Krämer"
"Number of redirects to this page","1","Philip_Krämer"
"Counted as a content page","Yes","Philip_Krämer"
"Wikidata item ID","Q64559291","Philip_Krämer"
"Local description","German politician (born 1992)","Philip_Krämer"
"Central description","German politician","Philip_Krämer"
"Page views in the past 30 days","48","Philip_Krämer"
"Display title","Isabel Mackensen-Geis","Isabel_Mackensen-Geis"
"Default sort key","Mackensen-Geis, Isabel","Isabel_Mackensen-Geis"
"Page length (in bytes)","6,087","Isabel_Mackensen-Geis"
"Namespace ID","0","Isabel_Mackensen-Geis"
"Page ID","62237001","Isabel_Mackensen-Geis"
"Page content language","en - English","Isabel_Mackensen-Geis"
"Page content model","wikitext","Isabel_Mackensen-Geis"
"Indexing by robots","Allowed","Isabel_Mackensen-Geis"
"Number of page watchers","Fewer than 30 watchers","Isabel_Mackensen-Geis"
"Number of redirects to this page","1","Isabel_Mackensen-Geis"
"Counted as a content page","Yes","Isabel_Mackensen-Geis"
"Wikidata item ID","Q64995051","Isabel_Mackensen-Geis"
"Local description","German politician","Isabel_Mackensen-Geis"
"Central description","German politician (SPD)","Isabel_Mackensen-Geis"
"Page image","","Isabel_Mackensen-Geis"
"Page views in the past 30 days","30","Isabel_Mackensen-Geis"
"Display title","Niels Annen","Niels_Annen"
"Default sort key","Annen, Niels","Niels_Annen"
"Page length (in bytes)","27,504","Niels_Annen"
"Namespace ID","0","Niels_Annen"
"Page ID","5464222","Niels_Annen"
"Page content language","en - English","Niels_Annen"
"Page content model","wikitext","Niels_Annen"
"Indexing by robots","Allowed","Niels_Annen"
"Number of page watchers","Fewer than 30 watchers","Niels_Annen"
"Number of redirects to this page","0","Niels_Annen"
"Counted as a content page","Yes","Niels_Annen"
"Wikidata item ID","Q109362","Niels_Annen"
"Local description","German politician and member of the SPD","Niels_Annen"
"Central description","German politician (SPD)","Niels_Annen"
"Page image","","Niels_Annen"
"Page views in the past 30 days","248","Niels_Annen"
"Display title","Peter Heidt","Peter_Heidt"
"Default sort key","Heidt, Peter","Peter_Heidt"
"Page length (in bytes)","4,039","Peter_Heidt"
"Namespace ID","0","Peter_Heidt"
"Page ID","63380813","Peter_Heidt"
"Page content language","en - English","Peter_Heidt"
"Page content model","wikitext","Peter_Heidt"
"Indexing by robots","Allowed","Peter_Heidt"
"Number of page watchers","Fewer than 30 watchers","Peter_Heidt"
"Number of redirects to this page","1","Peter_Heidt"
"Counted as a content page","Yes","Peter_Heidt"
"Wikidata item ID","Q66762848","Peter_Heidt"
"Local description","German lawyer and politician","Peter_Heidt"
"Central description","German politician","Peter_Heidt"
"Page image","","Peter_Heidt"
"Page views in the past 30 days","58","Peter_Heidt"
"Display title","Christiane Schenderlein","Christiane_Schenderlein"
"Default sort key","Schenderlein, Christiane","Christiane_Schenderlein"
"Page length (in bytes)","2,680","Christiane_Schenderlein"
"Namespace ID","0","Christiane_Schenderlein"
"Page ID","70747463","Christiane_Schenderlein"
"Page content language","en - English","Christiane_Schenderlein"
"Page content model","wikitext","Christiane_Schenderlein"
"Indexing by robots","Allowed","Christiane_Schenderlein"
"Number of page watchers","Fewer than 30 watchers","Christiane_Schenderlein"
"Number of redirects to this page","0","Christiane_Schenderlein"
"Counted as a content page","Yes","Christiane_Schenderlein"
"Wikidata item ID","Q67796852","Christiane_Schenderlein"
"Local description","German politician","Christiane_Schenderlein"
"Central description","German politician","Christiane_Schenderlein"
"Page image","","Christiane_Schenderlein"
"Page views in the past 30 days","37","Christiane_Schenderlein"
"Display title","Joe Weingarten","Joe_Weingarten"
"Default sort key","Weingarten, Joe","Joe_Weingarten"
"Page length (in bytes)","4,593","Joe_Weingarten"
"Namespace ID","0","Joe_Weingarten"
"Page ID","63301666","Joe_Weingarten"
"Page content language","en - English","Joe_Weingarten"
"Page content model","wikitext","Joe_Weingarten"
"Indexing by robots","Allowed","Joe_Weingarten"
"Number of page watchers","Fewer than 30 watchers","Joe_Weingarten"
"Number of redirects to this page","0","Joe_Weingarten"
"Counted as a content page","Yes","Joe_Weingarten"
"Wikidata item ID","Q72837814","Joe_Weingarten"
"Local description","German politician","Joe_Weingarten"
"Central description","German politician","Joe_Weingarten"
"Page image","","Joe_Weingarten"
"Page views in the past 30 days","193","Joe_Weingarten"
"Display title","Michael Kaufmann","Michael_Kaufmann"
"Redirects to","Autopoint Company (info)","Michael_Kaufmann"
"Default sort key","Michael Kaufmann","Michael_Kaufmann"
"Page length (in bytes)","31","Michael_Kaufmann"
"Namespace ID","0","Michael_Kaufmann"
"Page ID","41736500","Michael_Kaufmann"
"Page content language","en - English","Michael_Kaufmann"
"Page content model","wikitext","Michael_Kaufmann"
"Indexing by robots","Allowed","Michael_Kaufmann"
"Number of page watchers","Fewer than 30 watchers","Michael_Kaufmann"
"Number of redirects to this page","0","Michael_Kaufmann"
"Wikidata item ID","None","Michael_Kaufmann"
"Page views in the past 30 days","0","Michael_Kaufmann"
"Display title","Reginald Hanke","Reginald_Hanke"
"Default sort key","Hanke, Reginald","Reginald_Hanke"
"Page length (in bytes)","3,436","Reginald_Hanke"
"Namespace ID","0","Reginald_Hanke"
"Page ID","63380694","Reginald_Hanke"
"Page content language","en - English","Reginald_Hanke"
"Page content model","wikitext","Reginald_Hanke"
"Indexing by robots","Allowed","Reginald_Hanke"
"Number of page watchers","Fewer than 30 watchers","Reginald_Hanke"
"Number of redirects to this page","0","Reginald_Hanke"
"Counted as a content page","Yes","Reginald_Hanke"
"Wikidata item ID","Q75097087","Reginald_Hanke"
"Local description","German politician","Reginald_Hanke"
"Central description","German politician","Reginald_Hanke"
"Page image","","Reginald_Hanke"
"Page views in the past 30 days","24","Reginald_Hanke"
"Display title","Misbah Khan","Misbah_Khan"
"Default sort key","Khan, Misbah","Misbah_Khan"
"Page length (in bytes)","1,404","Misbah_Khan"
"Namespace ID","0","Misbah_Khan"
"Page ID","48536021","Misbah_Khan"
"Page content language","en - English","Misbah_Khan"
"Page content model","wikitext","Misbah_Khan"
"Indexing by robots","Allowed","Misbah_Khan"
"Number of page watchers","Fewer than 30 watchers","Misbah_Khan"
"Number of redirects to this page","0","Misbah_Khan"
"Counted as a content page","Yes","Misbah_Khan"
"Wikidata item ID","Q21642660","Misbah_Khan"
"Local description","Pakistani cricketer","Misbah_Khan"
"Central description","Pakistani cricketer","Misbah_Khan"
"Page views in the past 30 days","20","Misbah_Khan"
"Display title","Katja Kipping","Katja_Kipping"
"Default sort key","Kipping, Katja","Katja_Kipping"
"Page length (in bytes)","20,286","Katja_Kipping"
"Namespace ID","0","Katja_Kipping"
"Page ID","2757866","Katja_Kipping"
"Page content language","en - English","Katja_Kipping"
"Page content model","wikitext","Katja_Kipping"
"Indexing by robots","Allowed","Katja_Kipping"
"Number of page watchers","33","Katja_Kipping"
"Number of page watchers who visited in the last 30 days","3","Katja_Kipping"
"Number of redirects to this page","1","Katja_Kipping"
"Counted as a content page","Yes","Katja_Kipping"
"Wikidata item ID","Q76342","Katja_Kipping"
"Local description","German politician","Katja_Kipping"
"Central description","German politician","Katja_Kipping"
"Page image","","Katja_Kipping"
"Page views in the past 30 days","440","Katja_Kipping"
"Display title","Sandra Bubendorfer-Licht","Sandra_Bubendorfer-Licht"
"Default sort key","Bubendorfer-Licht, Sandra","Sandra_Bubendorfer-Licht"
"Page length (in bytes)","3,413","Sandra_Bubendorfer-Licht"
"Namespace ID","0","Sandra_Bubendorfer-Licht"
"Page ID","63379624","Sandra_Bubendorfer-Licht"
"Page content language","en - English","Sandra_Bubendorfer-Licht"
"Page content model","wikitext","Sandra_Bubendorfer-Licht"
"Indexing by robots","Allowed","Sandra_Bubendorfer-Licht"
"Number of page watchers","Fewer than 30 watchers","Sandra_Bubendorfer-Licht"
"Number of redirects to this page","0","Sandra_Bubendorfer-Licht"
"Counted as a content page","Yes","Sandra_Bubendorfer-Licht"
"Wikidata item ID","Q84056228","Sandra_Bubendorfer-Licht"
"Local description","German interpreter and politician","Sandra_Bubendorfer-Licht"
"Central description","German politician","Sandra_Bubendorfer-Licht"
"Page image","","Sandra_Bubendorfer-Licht"
"Page views in the past 30 days","37","Sandra_Bubendorfer-Licht"
"Display title","Johannes Arlt","Johannes_Arlt"
"Default sort key","Arlt, Johannes","Johannes_Arlt"
"Page length (in bytes)","3,561","Johannes_Arlt"
"Namespace ID","0","Johannes_Arlt"
"Page ID","69022085","Johannes_Arlt"
"Page content language","en - English","Johannes_Arlt"
"Page content model","wikitext","Johannes_Arlt"
"Indexing by robots","Allowed","Johannes_Arlt"
"Number of page watchers","Fewer than 30 watchers","Johannes_Arlt"
"Number of redirects to this page","0","Johannes_Arlt"
"Counted as a content page","Yes","Johannes_Arlt"
"Wikidata item ID","Q108717287","Johannes_Arlt"
"Local description","German politician","Johannes_Arlt"
"Central description","German politician","Johannes_Arlt"
"Page image","","Johannes_Arlt"
"Page views in the past 30 days","135","Johannes_Arlt"
"Display title","Cem Özdemir","Cem_Özdemir"
"Default sort key","Ozdemir, Cem","Cem_Özdemir"
"Page length (in bytes)","48,842","Cem_Özdemir"
"Namespace ID","0","Cem_Özdemir"
"Page ID","1474088","Cem_Özdemir"
"Page content language","en - English","Cem_Özdemir"
"Page content model","wikitext","Cem_Özdemir"
"Indexing by robots","Allowed","Cem_Özdemir"
"Number of page watchers","58","Cem_Özdemir"
"Number of page watchers who visited in the last 30 days","3","Cem_Özdemir"
"Number of redirects to this page","2","Cem_Özdemir"
"Counted as a content page","Yes","Cem_Özdemir"
"Wikidata item ID","Q12839","Cem_Özdemir"
"Local description","German politician, Federal Minister of Food and Agriculture (born 1965)","Cem_Özdemir"
"Central description","German politician, Federal Minister of Food and Agriculture","Cem_Özdemir"
"Page image","","Cem_Özdemir"
"Page views in the past 30 days","3,500","Cem_Özdemir"
"Display title","Jessica Rosenthal","Jessica_Rosenthal"
"Default sort key","Rosenthal, Jessica","Jessica_Rosenthal"
"Page length (in bytes)","6,532","Jessica_Rosenthal"
"Namespace ID","0","Jessica_Rosenthal"
"Page ID","70806523","Jessica_Rosenthal"
"Page content language","en - English","Jessica_Rosenthal"
"Page content model","wikitext","Jessica_Rosenthal"
"Indexing by robots","Allowed","Jessica_Rosenthal"
"Number of page watchers","Fewer than 30 watchers","Jessica_Rosenthal"
"Number of redirects to this page","0","Jessica_Rosenthal"
"Counted as a content page","Yes","Jessica_Rosenthal"
"Wikidata item ID","Q102442505","Jessica_Rosenthal"
"Local description","German politician","Jessica_Rosenthal"
"Central description","German politician of the SPD","Jessica_Rosenthal"
"Page image","","Jessica_Rosenthal"
"Page views in the past 30 days","170","Jessica_Rosenthal"
"Display title","Jens Teutrine","Jens_Teutrine"
"Default sort key","Teutrine, Jens","Jens_Teutrine"
"Page length (in bytes)","4,368","Jens_Teutrine"
"Namespace ID","0","Jens_Teutrine"
"Page ID","69039828","Jens_Teutrine"
"Page content language","en - English","Jens_Teutrine"
"Page content model","wikitext","Jens_Teutrine"
"Indexing by robots","Allowed","Jens_Teutrine"
"Number of page watchers","Fewer than 30 watchers","Jens_Teutrine"
"Number of redirects to this page","0","Jens_Teutrine"
"Counted as a content page","Yes","Jens_Teutrine"
"Wikidata item ID","Q98739468","Jens_Teutrine"
"Local description","German politician (FDP)","Jens_Teutrine"
"Central description","German politician (FDP)","Jens_Teutrine"
"Page image","","Jens_Teutrine"
"Page views in the past 30 days","282","Jens_Teutrine"
"Display title","Janosch Dahmen","Janosch_Dahmen"
"Default sort key","Dahmen, Janosch","Janosch_Dahmen"
"Page length (in bytes)","6,069","Janosch_Dahmen"
"Namespace ID","0","Janosch_Dahmen"
"Page ID","67614344","Janosch_Dahmen"
"Page content language","en - English","Janosch_Dahmen"
"Page content model","wikitext","Janosch_Dahmen"
"Indexing by robots","Allowed","Janosch_Dahmen"
"Number of page watchers","Fewer than 30 watchers","Janosch_Dahmen"
"Number of redirects to this page","0","Janosch_Dahmen"
"Counted as a content page","Yes","Janosch_Dahmen"
"Wikidata item ID","Q101481413","Janosch_Dahmen"
"Local description","German politician (born 1981)","Janosch_Dahmen"
"Central description","German physician, and politician","Janosch_Dahmen"
"Page image","","Janosch_Dahmen"
"Page views in the past 30 days","59","Janosch_Dahmen"
"Display title","Sebastian Fiedler","Sebastian_Fiedler"
"Default sort key","Fiedler, Sebastian","Sebastian_Fiedler"
"Page length (in bytes)","1,800","Sebastian_Fiedler"
"Namespace ID","0","Sebastian_Fiedler"
"Page ID","70995089","Sebastian_Fiedler"
"Page content language","en - English","Sebastian_Fiedler"
"Page content model","wikitext","Sebastian_Fiedler"
"Indexing by robots","Allowed","Sebastian_Fiedler"
"Number of page watchers","Fewer than 30 watchers","Sebastian_Fiedler"
"Number of redirects to this page","0","Sebastian_Fiedler"
"Counted as a content page","Yes","Sebastian_Fiedler"
"Wikidata item ID","Q88311083","Sebastian_Fiedler"
"Local description","German politician (born 1973)","Sebastian_Fiedler"
"Central description","German police investigator and politician","Sebastian_Fiedler"
"Page image","","Sebastian_Fiedler"
"Page views in the past 30 days","60","Sebastian_Fiedler"
